i_episode;episode_score;best_agent;worst_agent;mov_avg_100
1;0.643499985617;1.64999996312;0.0;0.643499985617
2;1.59849996427;2.46999994479;0.419999990612;1.12099997494
3;2.23499995004;4.90999989025;0.809999981895;1.49233329998
4;2.02949995464;3.37999992445;0.529999988154;1.62662496364
5;2.22449995028;3.399999924;0.669999985024;1.74619996097
6;2.65599994063;3.9099999126;1.38999996893;1.89783329091
7;3.12549993014;6.11999986321;0.87999998033;2.07321423937
8;3.28599992655;6.11999986321;0.809999981895;2.22481245027
9;3.75999991596;6.19999986142;1.26999997161;2.39538883535
10;4.78999989294;7.87999982387;1.88999995776;2.63484994111
11;6.7914998482;10.0899997745;2.81999993697;3.01272720539
12;6.87549984632;10.1299997736;2.83999993652;3.33462492547
13;8.56549980855;12.7599997148;3.51999992132;3.73699991647
14;11.3819997456;18.3699995894;5.94999986701;4.28307133284
15;10.4574997663;17.2299996149;3.83999991417;4.69469989507
16;10.6274997625;17.0099996198;2.59999994189;5.06549988678
17;10.7684997593;19.729999559;4.0799999088;5.40097046751
18;11.8724997346;20.669999538;3.12999993004;5.76049987124
19;14.6544996724;21.8599995114;3.14999992959;6.22860512394
20;12.6909997163;19.0299995746;3.81999991462;6.55172485356
21;15.3564996568;22.6899994928;6.26999985985;6.97099984419
22;15.6229996508;24.3799994551;5.0599998869;7.36427256267
23;16.1734996385;22.0799995065;9.01999979839;7.74728243553
24;15.747999648;23.2999994792;10.2299997713;8.08064565272
25;16.2484996368;24.1699994598;6.61999985203;8.40735981208
26;16.5049996311;21.9099995103;11.5299997423;8.71880749743
27;18.654999583;24.7699994463;12.6299997177;9.08681461171
28;17.9214995994;27.5799993835;11.809999736;9.40233907556
29;18.3219995905;24.5899994504;12.6099997181;9.70991357607
30;16.6479996279;25.0699994396;10.0299997758;9.94118311113
31;20.086499551;30.9899993073;10.9899997544;10.2684513834
32;20.402999544;36.0699991938;11.4499997441;10.5851560134
33;22.2424995028;27.2599993907;15.7799996473;10.9384088464
34;21.2459995251;27.4299993869;12.349999724;11.2415732781
35;23.7219994698;32.7299992684;16.9299996216;11.5981568836
36;24.9729994418;30.4799993187;18.9599995762;11.969680288
37;26.7664994017;32.1999992803;21.9399995096;12.3695943181
38;28.2129993694;38.2199991457;17.5199996084;12.78652603
39;27.6749993814;36.5099991839;20.5099995416;13.1682817569
40;28.63199936;36.3599991873;21.9099995103;13.554874697
41;29.2989993451;39.0399991274;21.2399995252;13.9388777372
42;30.0499993283;34.9999992177;21.9899995085;14.3224758703
43;29.4204993424;34.1399992369;16.8499996234;14.6735926953
44;30.1134993269;35.2599992119;22.1699995045;15.0244996642
45;29.3244993445;38.7399991341;15.7899996471;15.3422774349
46;32.1539992813;37.0499991719;24.7099994477;15.7077496489
47;33.3879992537;38.2999991439;23.3599994779;16.0839251724
48;31.7019992914;38.2399991453;21.8799995109;16.4093017166
49;33.3844992538;37.9599991515;28.8299993556;16.7557343194
50;34.3099992331;38.8399991319;24.0399994627;17.1068196176
51;36.3819991868;39.0499991272;30.0299993288;17.4847643151
52;35.6799992025;39.5299991164;28.3499993663;17.8346726783
53;35.4474992077;39.3599991202;23.2699994799;18.16699016
54;36.2139991906;39.5299991164;29.9199993312;18.5011940309
55;35.032499217;39.4899991173;28.2599993683;18.8017632161
56;34.9644992185;38.6199991368;29.9799993299;19.0903835019
57;36.5389991833;39.36999912;29.2199993469;19.3964995665
58;35.835999199;39.4399991184;29.7099993359;19.6799392153
59;36.8829991756;39.4999991171;33.8299992438;19.9715165028
60;36.9044991751;39.549999116;33.0199992619;20.2537328806
61;38.3289991433;39.6499991138;33.5799992494;20.550048721
62;38.0394991498;39.5099991169;35.3199992105;20.8321366311
63;38.0039991505;39.6899991129;33.2999992557;21.1047058775
64;37.3039991662;39.5199991167;34.7099992242;21.3578198351
65;37.7209991569;39.6799991131;34.3699992318;21.6095610555
66;38.1514991472;39.5199991167;35.6499992032;21.8601964811
67;38.4944991396;39.6899991129;30.6699993145;22.1084696551
68;38.1914991464;39.6499991138;30.7999993116;22.3449847947
69;38.2939991441;39.6799991131;34.8999992199;22.5761299302
70;38.6024991372;39.6199991144;37.2499991674;22.8050780617
71;38.3379991431;39.6899991129;36.3099991884;23.0238515981
72;38.7594991337;39.6499991138;36.7099991795;23.2424022583
73;38.1404991475;39.5799991153;34.3399992324;23.4464857773
74;37.6309991589;39.4199991189;35.119999215;23.6381683906
75;38.1534991472;39.549999116;35.9999991953;23.831706134
76;38.5409991385;39.6299991142;34.1399992369;24.025249463
77;39.0259991277;39.5799991153;37.0599991716;24.2200643937
78;38.4274991411;39.5699991155;33.8599992432;24.402210993
79;38.5589991381;39.549999116;32.9899992626;24.581410843
80;38.6389991364;39.5099991169;36.549999183;24.7571306966
81;38.5284991388;39.6099991146;35.8099991996;24.927147591
82;38.8074991326;39.639999114;35.8499991987;25.0964201708
83;39.0079991281;39.6499991138;36.7499991786;25.2640295558
84;38.92499913;39.6299991142;37.4299991634;25.426660146
85;38.9734991289;39.5799991153;37.3799991645;25.5860347222
86;38.5014991394;39.6099991146;36.0799991935;25.736214541
87;38.8239991322;39.6599991135;36.8799991757;25.8866488467
88;37.6509991584;39.4899991173;31.5699992944;26.0203346457
89;38.0579991493;39.4799991176;32.3399992771;26.155589303
90;37.5629991604;39.4999991171;35.0099992175;26.2823383014
91;38.4239991412;39.6499991138;33.4699992519;26.4157631458
92;38.9619991291;39.6099991146;36.6299991813;26.5521352761
93;38.5894991375;39.5999991149;35.2699992117;26.6815692961
94;38.6074991371;39.6299991142;36.7999991775;26.8084408901
95;38.5174991391;39.6299991142;35.3499992099;26.9316941349
96;38.5379991386;39.6099991146;34.5299992282;27.0525931453
97;38.8019991327;39.5799991153;37.1099991705;27.1737210421
98;38.6849991353;39.6299991142;35.3999992087;27.2911830635
99;38.5349991387;39.6199991144;37.0799991712;27.4047569632
100;38.4094991415;39.6299991142;32.2499992792;27.514804385
101;35.6314992036;38.6899991352;26.7499994021;27.8646843772
102;36.6039991818;39.4099991191;29.0499993507;28.2147393694
103;37.9414991519;39.4899991173;32.3299992774;28.5718043614
104;38.6689991357;39.6499991138;35.4899992067;28.9381993532
105;38.2369991453;39.6299991142;35.7199992016;29.2983243451
106;37.8194991547;39.6199991144;33.3699992541;29.6499593373
